影城名称,位置（区）,放映系统,开幕时间,宽度,高度,面积,座位数,备注
北京UME国际影城 （华星店）,,IMAX数字,2006年6月-2009年12月25日(IMAX MPX放映系统) 2010年(IMAX数字放映系统) 2015年8月4日(IMAX数字放映系统),22.6 [30],13.9,314.14,411,IMAX中国第4家IMAX影院
北京万达影城 （石景山万达广场店）,石景山,IMAX数字,2009年1月1日,21.3,12.7,270.51,433,IMAX中国第9家IMAX影院
北京万达影城 （CBD万达广场店）,,IMAX数字,2011年1月11日,16.5 [31],8.6,141.9,359 328,-
北京万达影城 （天通苑龙德广场店）,,IMAX数字,2012年7月27日,,,,267,-
北京金逸影城 （朝阳大悦城店）,朝阳,IMAX数字,2012年12月20日,,,,298,-
北京英嘉星美影城 [注 3],,IMAX数字,2013年7月26日-2018年12月9日 2019年2月1日,18.8 [32],10,188,506,-
北京金逸影城 （荟聚IMAX店）,,IMAX数字,2014年12月19日,23.9,12.22,292.058,445,-
北京博纳国际影城 （朝阳门旗舰店）,朝阳,IMAX数字,2014年12月16日,15.86,8.22,130.3692,232,-
北京华谊兄弟影院 （洋桥店）,,IMAX数字,2015年8月15日,19.84,10.68,211.8912,321,-
北京卢米埃影城 （龙湖店）,,IMAX数字,2015年10月12日,23.65,13.04,308.396,410,-
北京SFC上影影城 （大兴龙湖店）,大兴,IMAX数字,2016年7月1日,22.4 [33],12.3,275.52,392,-
北京恒业国际影城 （六里桥店）,,IMAX数字,2016年12月16日,15.5 [34],8.6,133.3,262,-
北京万达影城 （槐房万达广场店）,,IMAX数字,2016年12月22日,19.5 [35],10.8,210.6,395,-
北京金泉港国际影城,,IMAX数字,2017年7月1日,23.66,12.55,296.933,428,-
北京博纳国际影城 （密云店）,,IMAX数字,2017年12月8日,19.5 [36],10.9,212.55,294,-
北京万达影城 （西铁营万达广场店）,,IMAX数字,2017年12月22日,21.39,11.25,240.6375,323,-
北京万达影城 （怀柔万达广场店）,,IMAX数字,2017年12月29日,20 [37],11.2,224,339,-
北京博纳影城 （门头沟长安天街IMAX店）,门头沟,IMAX数字,2019年11月15日,,,,,-
北京速铂影城(路劲IMAX店),,IMAX数字,预计2020年,21.6,11.25,243,,-
北京大地影城 （芳圆里ID MALL店）,,IMAX数字,预计2020年,,,,,-
北京锐得影城,,IMAX数字,预计2020年,,,,,-
北京卢米埃影院 （奥森天地店）,,IMAX数字,预计2020年,,,,,-